Name          (SISO);Slug;Page Description;Keywords;Status;;WEB Prd id;Polygon;Texture format;Texture resolution;Original Image;Category;File format
Patriot Advanced Capability-3 (MIM-104 Patriot);pac3;pac3;pac3;1;;;12000;rgb;2048;pac3_01.jpg;Guided;max, flight
airport;airport;airport;airport;1;;18;12000;rgb;2048;airport_01.jpg;;max, flight
Alpha MRAP;Alpha;Alpha MRAP;Alpha,  MRAP PVI  Battelle;1;;287;12000;rgb;2048;Alpha_01.jpg;armored fighting vehicles;max, flight
Grumman F8F Bearcat;Bearcat;Bearcat;Grumman, F8F Bearcat Bear G-58;1;;73;12000;rgb;2048;Bearcat_01.jpg;Fighter/Air Defense;max, flight
BRDM-2  Reconnaissance  vehicle;BRDM-2;BRDM-2;BRDM-2, BRDM-1 Reconnaissance vehicle BTR-40PB, BTR-40P-2 and GAZ 41-08;1;;77;12000;rgb;2048;BRDM-2_01.jpg;Armored fighting vehicle;max, flight
BTR-80;BTR-80;BTR-80;BTR-80, BTR-60 BTR-70;1;;76;12000;rgb;2048;BTR-80_01.jpg;Armored Fighting Vehicle;max, flight
BTR-152;BTR_152;BTR-152;BTR-152, BTR-140;1;;19;12000;rgb;2048;BTR_152_01.jpg;Armored Fighting Vehicle;max, flight
Buffalo;Buffalo;Buffalo 6x6;Buffalo, Casspir;1;;586;12000;rgb;2048;Buffalo_01.jpg;;max, flight
BULL;BULL;BULL;BULL, MRAP;1;;269;12000;rgb;2048;BULL_01.jpg;;max, flight
M109 155-mm SP Howitzer;Caesar;Caesar;Caesar, truck-mounted gun-howitzer;1;;20;12000;rgb;2048;Caesar_01.jpg;Self-propelled artillery;max, flight
BAE Caiman;Caiman;Caiman;Caiman, LMTV;1;;;12000;rgb;2048;Caiman_01.jpg;;max, flight
Centauro  B-1;Centauro;Centauro B-1;Centauro, B-1;1;;21;12000;rgb;2048;Centauro_01.jpg;Tank;max, flight
Cheetah;Cheetah;Cheetah;Cheetah, Buffalo Cougar;1;;21;12000;rgb;2048;Cheetah_01.jpg;;max, flight
CHEVY  AFGHAN;CHEVY_AFGHAN;CHEVY AFGHAN;CHEVY, AFGHAN Civilian Vehicle truck pick-up;1;;817;12000;rgb;2048;CHEVY_AFGHAN_01.jpg;Civilian Vehicle;max, flight
Cougar  Type;Cougar_6X6;Cougar Type;Cougar, Type;1;;22;12000;rgb;2048;Cougar_6X6_01.jpg;Light/Patrol Craft;max, flight
Cougar  H  Series  4X4;Cougar_H_Series_4X4;Cougar H Series 4X4;Cougar, HEV Tempest MPV Badger ILAV  Wolfhound Mastiff PPV Ridgeback PPV;1;;23;12000;rgb;2048;Cougar_H_Series_4X4_01.jpg;Armored Utility Vehicle;max, flight
Dana  Howitzer-77;Dana_Howitzer-77;Dana Howitzer-77;Dana, Howitzer-77;1;;98;12000;rgb;2048;Dana_Howitzer-77_01.jpg;Self-propelled Artillery;max, flight
ATF Dingo;Dingo;Dingo;Dingo KMW Grizzly Mungo ESK Rheinmetall YAK Boxer AGF LAPV Enok;1;;24;12000;rgb;2048;Dingo_01.jpg;Armored Utility Vehicle;max, flight
Fennek;fennek;fennek;fennek;1;;266;12000;rgb;2048;fennek_01.jpg;Armored Utility Vehicle;max, flight
Ford;Ford;Ford;Ford, Ford F350,;1;;785;12000;rgb;2048;Ford_01.jpg;Civilian Vehicle;max, flight
FORD350  Bronco 2  Utility;FORD350_2_Utility;FORD350 2 Utility;FORD350, Ford F350, Ford Bronco Utility;1;;270;12000;rgb;2048;FORD350_2_Utility_01.jpg;Civilian Vehicle;max, flight
G6 155-mm Howitzer;G6_HOWITZER;G6 HOWITZER;G6, G6 HOWITZER, G6 M1A3, G6 Marksman;1;;270;12000;rgb;2048;G6_HOWITZER_01.jpg;Self-propelled Artillery;max, flight
GAZ-66  4x4  2000-kg  truck;Gaz-66;GAZ-66;Gaz-66, Shishiga,;1;;111;12000;rgb;2048;Gaz-66_01.jpg;Large Wheeled Utility Vehicle;max, flight
GCD;GCD;GCD;GCD, GCD*;1;;;12000;rgb;2048;GCD_01.jpg;Mortar;max, flight
GMC  Sierra  Utility;GMC_Sierra_Utility;GMC Sierra Utility;GMC, GMC Sierra Utility;1;;738;12000;rgb;2048;GMC_Sierra_Utility_01.jpg;Civilian Vehicle;max, flight
HMMWV  M998-series;HMMWV;HMMWV;HMMWV, Tiuna, GAZ-2975 "Tigr", Mahindra Axe, LSV, ELBO/Plasan Sasa;1;;;12000;rgb;2048;HMMWV_01.jpg;Small wheeled utility vehicle;max, flight
ARV Husky;Husky;ARV Husky;ARV, Husky, Husky vehicle, ARV Husky;1;;25;12000;rgb;2048;Husky_01.jpg;Small wheeled utility vehicle;max, flight
International MaxxPro;International_MaxxPro_MPV;International MaxxPro MPV;MaxxPro, International MaxxPro, MXT-MV, MPV, FTTS;1;;25;12000;rgb;2048;International_MaxxPro_MPV_01.jpg;Armored Fighting Vehicle;max, flight
IVMMD F-MDT (Trailer);IVMMD_F-MDT;IVMMD F-MDT;IVMMD, IVMMD F-MDT, MDV, Chubby;1;;710;12000;rgb;2048;IVMMD_F-MDT_01.jpg;;max, flight
IVMMD  S-MDT (Trailer);IVMMD_S-MDT;IVMMD S-MDT;IVMMD, IVMMD S-MDT, MDV, Chubby;1;;708;12000;rgb;2048;IVMMD_S-MDT_01.jpg;;max, flight
IVMMD  T-MDT (Trailer);IVMMD_T-MDT;IVMMD T-MDT;IVMMD, IVMMD T-MDT, Chubby;1;;709;12000;rgb;2048;IVMMD_T-MDT_01.jpg;;max, flight
KrAZ-255B  6x6  7500-kg  truck;KRAZ_255;KrAZ-255B 6x6 7500-kg truck;KrAZ-255B, KrAZ 6x6, 7500-kg, Kraz truck;1;;226;12000;rgb;2048;KRAZ_255_01.jpg;Large Wheeled Utility Vehicle;max, flight
Luggage  Cart-001;Luggage_Cart-001;Luggage Cart-001;Luggage, Cart-001;1;;;12000;rgb;2048;Luggage_Cart-001_01.jpg;;max, flight
M1046  TOW  missile  carrier;M1046;M1046 TOW missile carrier;M1046, M1046 TOW, missile,;1;;;12000;rgb;2048;M1046_01.jpg;Small Wheeled Utility Vehicle;max, flight
M1097 Heavy HMMWV;M1097;M1097;M1097;1;;;12000;rgb;2048;M1097_01.jpg;;max, flight
M1117  Armored  Security  Vehicle;M1117;M1117 Armored Security Vehicle;M1117, Armored, Security, Vehicle;1;;26;12000;rgb;2048;M1117_01.jpg;Armored Fighting Vehicle;max, flight
M1126  M2;M1126_M2;M1126 M2;M1126, M2;1;;804;12000;rgb;2048;M1126_M2_01.jpg;;max, flight
M1127 Reconnaissance Vehicle;M1127;M1127;M1127;1;;828;12000;rgb;2048;M1127_01.jpg;;max, flight
Stryker Mobile Gun System;M1128;*m1128;*m1128;1;;;12000;rgb;2048;M1128_01.jpg;Armored fighting vehicle;max, flight
M1130 Commander's Vehicle;M1130;M1130;M1130;1;;824;12000;rgb;2048;M1130_01.jpg;Armored Utility Vehicle;max, flight
M1131;M1131;M1131;M1131;1;;829;12000;rgb;2048;M1131_01.jpg;;max, flight
;M1133;M1133;M1133;1;;825;12000;rgb;2048;M1133_01.jpg;Armored fighting vehicle;max, flight
M1135;M1135;M1135;M1135;1;;151;12000;rgb;2048;M1135_01.jpg;Armored fighting vehicle;max, flight
M1089  Truck  Wrecker  MTV  Equip  Winch;M_1089;M1089 Truck Wrecker MTV;M1089, M1089 Truck, M1089 Wrecker,;1;;151;12000;rgb;2048;M_1089_01.jpg;Large wheeled utility vehicle;max, flight
Meerkat;Meerkat;Meerkat;Meerkat, IVMMD_F-MDT,IVMMD_S-MDT, IVMMD_T-MDT;1;;;12000;rgb;2048;Meerkat_01.jpg;;max, flight
Bus;Military_Bus;Bus;Bus;1;;290;12000;rgb;2048;Military_Bus_01.jpg;Civilian Vehicle;max, flight
Oshkosh  MK48-series  articulated  8x8  vehicle;Oshkosh_Bushmaster;Oshkosh MK48-series articulated 8x8 vehicle;Oshkosh, MK48-series, articulated, 8x8, vehicle;1;;28;12000;rgb;2048;Oshkosh_Bushmaster_01.jpg;Large wheeled utility vehicle;max, flight
Pandur  II  6X6  KD-V30;Pandur_II_6X6_KD-V30;Pandur II 6X6 KD-V30;Pandur, II, 6X6, KD-V30;1;;192;12000;rgb;2048;Pandur_II_6X6_KD-V30_01.jpg;;max, flight
Pantsyr  S1  Air  Defense;Pantsyr_S1_Air_Defense;Pantsyr S1 Air Defense;Pantsyr, S1, Air, Defense;1;;203;12000;rgb;2048;Pantsyr_S1_Air_Defense_01.jpg;;max, flight
patria;patria;patria;patria;1;;593;12000;rgb;2048;patria_01.jpg;Armored utility vehicle;max, flight
RAFAEL  Golan;RAFAEL_Golan;RAFAEL Golan;RAFAEL, Golan;1;;29;12000;rgb;2048;RAFAEL_Golan_01.jpg;Tank;max, flight
RG-31 Nyala;RG-31;RG-31;RG-31;1;;30;12000;rgb;2048;RG-31_01.jpg;;max, flight
RG-33;RG-33;RG-33;RG-33;1;;31;12000;rgb;2048;RG-33_01.jpg;Light Armored Vehicle;max, flight
Stryker  Reconnaissance  Vehicle  MK  240  7-62  mm  machine;Stryker (M1126);Stryker Reconnaissance Vehicle MK 240 7-62 mm machine;Stryker, Reconnaissance, Vehicle, MK, 240, 7-62, mm, machine;1;;;12000;rgb;2048;Stryker (M1126)_01.jpg;Armored Utility Vehicle;max, flight
gun;SuperWedge_Launcher;gun;gun;1;;;12000;rgb;2048;SuperWedge_Launcher_01.jpg;;max, flight
Technical-001  ZPU-4;Technical-001_ZPU-4;Technical-001 ZPU-4;Technical-001, ZPU-4;1;;;12000;rgb;2048;Technical-001_ZPU-4_01.jpg;Armored Utility Vehicle;max, flight
Technical-002  Kornet;Technical-002_Kornet;Technical-002 Kornet;Technical-002, Kornet;1;;;12000;rgb;2048;Technical-002_Kornet_01.jpg;Armored Utility Vehicle;max, flight
Technical-004  M40;Technical-004_M40;Technical-004 M40;Technical-004, M40;1;;;12000;rgb;2048;Technical-004_M40_01.jpg;Armored Utility Vehicle;max, flight
Technical-005  DHSK;Technical-005_DHSK;Technical-005 DHSK;Technical-005, DHSK;1;;;12000;rgb;2048;Technical-005_DHSK_01.jpg;Armored Utility Vehicle;max, flight
Technical-006  ZPU-2;Technical-006_ZPU-2;Technical-006 ZPU-2;Technical-006, ZPU-2;1;;;12000;rgb;2048;Technical-006_ZPU-2_01.jpg;Armored Utility Vehicle;max, flight
Technical-007  B-10;Technical-007_B-10;Technical-007 B-10;Technical-007, B-10;1;;;12000;rgb;2048;Technical-007_B-10_01.jpg;Armored Utility Vehicle;max, flight
Technical-009  ZU-23-2;Technical-009_ZU-23-2;Technical-009 ZU-23-2;Technical-009, ZU-23-2;1;;;12000;rgb;2048;Technical-009_ZU-23-2_01.jpg;Armored Utility Vehicle;max, flight
Technical-010  Type  63;Technical-010_Type_63;Technical-010 Type 63;Technical-010, Type, 63;1;;;12000;rgb;2048;Technical-010_Type_63_01.jpg;Armored Utility Vehicle;max, flight
Technical-011  M2;Technical-011_M2;Technical-011 M2;Technical-011, M2;1;;;12000;rgb;2048;Technical-011_M2_01.jpg;Armored Utility Vehicle;max, flight
Technical-015  M249;Technical-015_M249;Technical-015 M249;Technical-015, M249;1;;;12000;rgb;2048;Technical-015_M249_01.jpg;Armored Utility Vehicle;max, flight
Technical-016  RPK;Technical-016_RPK;Technical-016 RPK;Technical-016, RPK;1;;;12000;rgb;2048;Technical-016_RPK_01.jpg;Armored Utility Vehicle;max, flight
Technical-020  M2;Technical-020_M2;Technical-020 M2;Technical-020, M2;1;;;12000;rgb;2048;Technical-020_M2_01.jpg;Armored Utility Vehicle;max, flight
Technical-021  B8M1;Technical-021_B8M1;Technical-021 B8M1;Technical-021, B8M1;1;;;12000;rgb;2048;Technical-021_B8M1_01.jpg;Armored Utility Vehicle;max, flight
Technical-022  KPV;Technical-022_KPV;Technical-022 KPV;Technical-022, KPV;1;;;12000;rgb;2048;Technical-022_KPV_01.jpg;;max, flight
Technical-025  UB  16  57;Technical-025_UB_16_57;Technical-025 UB 16 57;Technical-025, UB, 16, 57;1;;;12000;rgb;2048;Technical-025_UB_16_57_01.jpg;;max, flight
Technical-027  UB-16;Technical-027_UB-16;Technical-027 UB-16;Technical-027, UB-16;1;;;12000;rgb;2048;Technical-027_UB-16_01.jpg;Armored Utility Vehicle;max, flight
trailer  generator-001;trailer_generator-001;trailer generator-001;trailer, generator-001;1;;714;12000;rgb;2048;trailer_generator-001_01.jpg;Generator trailer;max, flight
trailer  generator-002;trailer_generator-002;trailer generator-002;trailer, generator-002;1;;;12000;rgb;2048;trailer_generator-002_01.jpg;Generator trailer;max, flight
truck-010-jingle;truck-010-jingle;truck-010-jingle;truck-010-jingle;1;;;12000;rgb;2048;truck-010-jingle_01.jpg;Civilian Vehicle;max, flight
truck-024  usairways;truck-024_usairways;truck-024 usairways;truck-024, usairways;1;;;12000;rgb;2048;truck-024_usairways_01.jpg;Civilian Vehicle;max, flight
truck-025  united;truck-025_united;truck-025 united;truck-025, united;1;;;12000;rgb;2048;truck-025_united_01.jpg;Civilian Vehicle;max, flight
truck-029  united;truck-029_united;truck-029 united;truck-029, united;1;;;12000;rgb;2048;truck-029_united_01.jpg;Civilian Vehicle;max, flight
truck  007;truck_007;truck 007;truck, 007;1;;;12000;rgb;2048;truck_007_01.jpg;Civilian Vehicle;max, flight
truck  017B;truck_017B;truck 017B;truck, 017B;1;;757;12000;rgb;2048;truck_017B_01.jpg;Civilian Vehicle;max, flight
UGV  MULE;UGV_MULE;UGV MULE;UGV, MULE;1;;17;12000;rgb;2048;UGV_MULE_01.jpg;;max, flight
VAB  APC;VAB_4x4;VAB APC;VAB, APC;1;;245;12000;rgb;2048;VAB_4x4_01.jpg;Armored Fighting Vehicle;max, flight
Panhard Véhicule Blindé Léger;VBL;VBL;VBL;1;;244;12000;rgb;2048;VBL_01.jpg;Armored fighting vehicle;max, flight
Zil;Zil;Zil;Zil;1;;63;12000;rgb;2048;Zil_01.jpg;Large wheeled utility vehicle;max, flight
ZIL-131 6x6 3500-kg truck;ZILH131;ZILH131;ZILH131;1;;;12000;rgb;2048;ZILH131_01.jpg;Large wheeled utility vehicle;max, flight
